Id;Categoria;Pergunta;Resposta
1;Suporte;Qual é a disponibilidade (SLA) do sistema?;"Temos histórico de SLA de manter a disponibilidade do Sienge por 99% do tempo. O sistema fica disponível 24 x 7 x 365. Essa disponibilidade é garantida em horário comercial, de segunda à sexta, entre 8 e 18h. Existe uma estrutura responsável pelo monitoramento da solução. As manutenções estão agendadas para ocorrerem fora do horário comercial, pois podem gerar pequenas indisponibilidade no sistema (backups, atualizações de versão etc).
"
2;Suporte;Qual é o horários de atendimento do Suporte?;Atendimento do Suporte ao usuário é de segunda a sexta-feira (execeto feriados nacionais), durante horário comercial, das 08hs às 18hs. 
3;Suporte;Qual é a ferramenta utilizada para abertura e monitoramento de chamados?;"Telefone, portal de atendimento ao cliente (web) e chat dentro da próprio sistema.
Sistema utilizado chama-se Freshdesk. URL de acesso: https://ajuda.sienge.com.br/support/home"
4;Suporte;Qual é o SLA de incidentes?;
5;Suporte;Em caso de incidente como deverá ocorrer o escalonamento no Suporte?(escalation de incidente)?;Em caso de incidente, o cliente deve contactar diretamente o Suporte, que ficará responsável por avaliar o caso respeitando o prazo de SLA informado acima. Após passar o prazo de SLA o cliente deve contactar os níveis de escalonamento respeitando os tempos (horas úteis) entre os níveis. O escalonamento a partir do 3º nível deverá ser feito pelo executivo responsável do cliente.  A comunicação do escalonamento deverá ser formalizada no chamado e/ou via e-mail para manter o histórico. O escalonamento está estruturado em 3 níveis (operacional, tático e estratégico) conforme apresentado na imagem abaixo:
6;Infraestrutura;Quais são as formas de monitoramento da aplicação? ;São monitorados diferentes itens de infraestrutura, banco de dados e aplicação, visando garantir a alta disponibilidade do sistema, para essa finalidade, é utilizado uma mescla de soluções, incluindo, mas não restrito a Zabbix, Prometheus, Elastic Search.
7;Infraestrutura;Qual é o local de implantação da solução? Será implantada em ambiente local da empresa, em nuvem ou será uma solução mista?;Toda a infraestrura fica sob a responsabilidade da Softplan. Todos os serviços Sienge são prestados a partir do datacenter IBM, localizado em Dallas, Texas - EUA. A administração é feita a partir do estabelecimento de VPNs dedicadas a este propósito.
8;Infraestrutura;Qual a infraestrutura utilizada na nuvem?;A Infraestrutura IBM. Não existindo integrações com outras clouds.
9;Infraestrutura;Qual o fornecedor de banco de dados?;PostgreSQL
10;Infraestrutura;Qual a frequência de backup? Por quanto tempo as informações serão armazenadas no backup?;Backups diários são armazenados e então sobrescritos após 7 dias. 1 cópia do backup semanal é mantida por retenção maior, sendo sobrescrita após 6 meses.
12;Infraestrutura;Existe alguma restrição de uso da aplicação em dispositivos Android ou IOS ?;A plataforma Sienge não possui aplicativo mobile, dessa forma não está totalmente preparado para usabilidade em dispositivos móveis. Algumas telas são mais responsivas e podem ser acessadas pelo celular via navegador para acesso à internet.
